,teamID,name,WinningRatio,Total Pay in Million
0,ALT,Altoona Mountain City,0.24,
1,ANA,Anaheim Angels,0.5082970960163943,468.091973
2,ARI,Arizona Diamondbacks,0.4936868686868687,1209.975228
3,ATL,Atlanta Braves,0.5404639908909764,1882.946784
4,BAL,Baltimore Orioles,0.47615418940720144,1630.200038
5,BFN,Buffalo Bisons,0.47865853658536583,
6,BFP,Buffalo Bisons,0.26865671641791045,
7,BL1,Baltimore Canaries,0.48148148148148145,
8,BL2,Baltimore Orioles,0.4269067796610169,
9,BL3,Baltimore Orioles,0.4858757062146893,
10,BL4,Baltimore Marylands,0.0,
11,BLA,Baltimore Orioles,0.427536231884058,
12,BLF,Baltimore Terrapins,0.4171974522292994,
13,BLN,Baltimore Orioles,0.576544315129812,
14,BLU,Baltimore Monumentals,0.5471698113207547,
15,BOS,Boston Americans,0.5345659842908467,2432.700935
16,BR1,Brooklyn Eckfords,0.10344827586206896,
17,BR2,Brooklyn Atlantics,0.2604166666666667,
18,BR3,Brooklyn Atlantics,0.5236270753512133,
19,BR4,Brooklyn Gladiators,0.26,
20,BRF,Brooklyn Tip-Tops,0.47419354838709676,
21,BRO,Brooklyn Bridegrooms,0.5085836909871244,
22,BRP,Brooklyn Ward's Wonders,0.5714285714285714,
23,BS1,Boston Red Stockings,0.7705479452054794,
24,BS2,Boston Reds,0.6690647482014388,
25,BSN,Boston Red Caps,0.47157467981203355,
26,BSP,Boston Reds,0.6230769230769231,
27,BSU,Boston Reds,0.5225225225225225,
28,BUF,Buffalo Buffeds,0.5,
29,CAL,California Angels,0.4878322047023545,271.97893
30,CH1,Chicago White Stockings,0.6785714285714286,
31,CH2,Chicago White Stockings,0.453125,
32,CHA,Chicago White Sox,0.5076625603815224,1699.865143
33,CHF,Chicago Chi-Feds,0.5544871794871795,
34,CHN,Chicago White Stockings,0.4803006842154021,1859.833315
35,CHP,Chicago Pirates,0.5434782608695652,
36,CHU,Chicago/Pittsburgh (Union League),0.44086021505376344,
37,CIN,Cincinnati Reds,0.5025300688957223,1434.775348
38,CL1,Cleveland Forest Citys,0.3137254901960784,
39,CL2,Cleveland Blues,0.4408014571948998,
40,CL3,Cleveland Blues,0.332089552238806,
41,CL4,Cleveland Spiders,0.48140900195694714,
42,CL5,Columbus Buckeyes,0.48792270531400966,
43,CL6,Columbus Solons,0.4784688995215311,
44,CLE,Cleveland Blues,0.5030039602047716,1405.016128
45,CLP,Cleveland Infants,0.4198473282442748,
46,CN1,Cincinnati Reds,0.35919540229885055,
47,CN2,Cincinnati Red Stockings,0.5736677115987461,
48,CN3,Cincinnati Kelly's Killers,0.4215686274509804,
49,CNU,Cincinnati Outlaw Reds,0.6571428571428571,
50,COL,Colorado Rockies,0.46838048780487807,1293.910639
51,DET,Detroit Tigers,0.47835107649399683,1771.197687
52,DTN,Detroit Wolverines,0.48409090909090907,
53,ELI,Elizabeth Resolutes,0.08695652173913043,
54,FLO,Florida Marlins,0.47223270406348045,675.016005
55,FW1,Fort Wayne Kekiongas,0.3684210526315789,
56,HAR,Hartford Dark Blues,0.6046511627906976,
57,HOU,Houston Colt .45's,0.49808684325436475,1408.093157
58,HR1,Hartford Dark Blues,0.5035971223021583,
59,IN1,Indianapolis Blues,0.38095238095238093,
60,IN2,Indianapolis Hoosiers,0.2636363636363636,
61,IN3,Indianapolis Hoosiers,0.36683417085427134,
62,IND,Indianapolis Hoosiers,0.5605095541401274,
63,KC1,Kansas City Athletics,0.40242718446601944,
64,KC2,Kansas City Cowboys,0.36162361623616235,
65,KCA,Kansas City Royals,0.4593568116799842,1177.466968
66,KCF,Kansas City Packers,0.4820846905537459,
67,KCN,Kansas City Cowboys,0.23809523809523808,
68,KCU,Kansas City Cowboys,0.1951219512195122,
69,KEO,Keokuk Westerns,0.07692307692307693,
70,LAA,Los Angeles Angels,0.5584711677026649,1184.671686
71,LAN,Los Angeles Dodgers,0.5227111620044713,2237.766703
72,LS1,Louisville Grays,0.5,
73,LS2,Louisville Eclipse,0.46553122465531227,
74,LS3,Louisville Colonels,0.37410714285714286,
75,MIA,Miami Marlins,0.42972459639126304,193.5168
76,MID,Middletown Mansfields,0.20833333333333334,
77,MIL,Milwaukee Brewers,0.47227772549727354,1048.161053
78,MIN,Minnesota Twins,0.48641880031475093,1270.237124
79,ML1,Milwaukee Braves,0.5606653620352251,
80,ML2,Milwaukee Grays,0.2459016393442623,
81,ML3,Milwaukee Brewers,0.5833333333333334,
82,ML4,Milwaukee Brewers,0.48818694184713274,233.645804
83,MLA,Milwaukee Brewers,0.34532374100719426,
84,MLU,Milwaukee Brewers,0.6666666666666666,
85,MON,Montreal Expos,0.4901445885604933,408.203761
86,NEW,Newark Pepper,0.5161290322580645,
87,NH1,New Haven Elm Citys,0.14893617021276595,
88,NY1,New York Gothams,0.5457898524649154,
89,NY2,New York Mutuals,0.5431654676258992,
90,NY3,New York Mutuals,0.3684210526315789,
91,NY4,New York Metropolitans,0.4560810810810811,
92,NYA,New York Highlanders,0.5637825646389697,3283.119334
94,NYP,New York Giants,0.5606060606060606,
95,OAK,Oakland Athletics,0.5237895590074698,1186.554453
96,PH1,Philadelphia Athletics,0.637065637065637,
97,PH2,Philadelphia Whites,0.56353591160221,
98,PH3,Philadelphia Centennials,0.14285714285714285,
99,PH4,Philadelphia Athletics,0.5192780968006563,
100,PHA,Philadelphia Athletics,0.47315231949348596,
101,PHI,Philadelphia Quakers,0.49134127789046655,1982.3558
102,PHN,Philadelphia Athletics,0.23333333333333334,
103,PHP,Philadelphia Athletics,0.5151515151515151,
104,PHU,Philadelphia Keystones,0.31343283582089554,
105,PIT,Pittsburg Alleghenys,0.4673594715588755,994.547218
106,PRO,Providence Grays,0.6041379310344828,
107,PT1,Pittsburg Alleghenys,0.43866171003717475,
108,PTF,Pittsburgh Rebels,0.4838709677419355,
109,PTP,Pittsburgh Burghers,0.46875,
110,RC1,Rockford Forest Citys,0.16,
111,RC2,Rochester Broncos,0.47368421052631576,
112,RIC,Richmond Virginians,0.2608695652173913,
113,SDN,San Diego Padres,0.478580842802693,1177.499962
114,SE1,Seattle Pilots,0.39263803680981596,
115,SEA,Seattle Mariners,0.4846972672109607,1673.143431
116,SFN,San Francisco Giants,0.5194319603734608,1696.242921
118,SL2,St. Louis Brown Stockings,0.5571428571428572,
119,SL3,St. Louis Brown Stockings,0.5887096774193549,
120,SL4,St. Louis Brown Stockings,0.6323886639676113,
121,SL5,St. Louis Maroons,0.3333333333333333,
122,SLA,St. Louis Browns,0.4280877742946708,
123,SLF,St. Louis Terriers,0.476038338658147,
124,SLN,St. Louis Browns,0.5268120363531263,1775.631332
125,SLU,St. Louis Maroons,0.8245614035087719,
126,SPU,St. Paul White Caps,0.2222222222222222,
127,SR1,Syracuse Stars,0.30985915492957744,
128,SR2,Syracuse Stars,0.4296875,
129,TBA,Tampa Bay Devil Rays,0.46019794844073775,768.110875
130,TEX,Texas Rangers,0.5028292682926829,1670.090498
131,TL1,Toledo Blue Stockings,0.41818181818181815,
132,TL2,Toledo Maumees,0.5074626865671642,
133,TOR,Toronto Blue Jays,0.5103712347749981,1570.875353
134,TRN,Troy Trojans,0.40606060606060607,
135,TRO,Troy Haymakers,0.5185185185185185,
136,WAS,Washington Senators,0.4747018544341998,715.360021
137,WIL,Wilmington Quicksteps,0.1111111111111111,
138,WOR,Worcester Ruby Legs,0.35714285714285715,
139,WS1,Washington Senators,0.45962124510230734,
140,WS2,Washington Senators,0.4173716864072194,
141,WS3,Washington Olympics,0.4146341463414634,
142,WS4,Washington Nationals,0.0,
143,WS5,Washington Blue Legs,0.20512820512820512,
